ddabaaef1c450b1	11075fc5dc59873d	3513cf84ca79ca8f	4634a5a8b7a71481	32da8ae3d28c3bd6	2123d4b154983c99	eca1f1d81258747	fcc57e14beef050	3e9abcc7b2835ade	
571293284befd578	6b016695d9c9470d	5e4e6de7824fb24f	36117cb12eb2618c	fa5cc3e9f15b46a	7315c8b30d0e95a2	2a87dd2181e1ae6	2e21e6ad0afb433c	49d65148c1172a6b	
2df1747a7b8a966c	1866b8f3fa112cdf	51c2760f7096e24e	5cd1c75e95a898b6	25c50b4d94be49d3	6b4917a546ad2e19	30dd2524cf3fac6c	f4904a09138e3f7	72c2f15fcd09bc96	
33116a9b7db461ba	346f9e4e39251b41	c70d1e1343411d9	2775e6ffe8a2138	21f1dcb142ca3af	207e2d92000b5f15	5bdb08110b5cd4fb	636ff4acfe07b6b	65f403230c5b8946	
3d3d4447973c435e	620fb32b596b08ff	365ec09d5ab600fd	7a5d4ddb5c860970	5cc5542dc73d6da8	673c3f65812851a6	6346c2bcb955c781	27166ca26995ed31	2e52e5ca726c1ec2	
4bb41b9df6b2b8ee	48a298405342ff1c	10f619472775ecc2	5da8d3b439cd5f90	24e44f6be01b9b75	60cf1c79f37733b6	793107405b009f81	72384420bcb9d235	4aa5adef760db445	
1f6841ff575e5880	2ef9bc9891cdd5a2	48139929910d8c29	548f7b2a837e2326	5b019d5d6ac0f214	10210adbdf060dd6	5f7a5360a9b794d4	7d18225fef1009a2	596334af158d9cd4	
18b68c9f689089f0	76c2baf31281be62	674b942eb4f137dd	23b7015c890c4f53	5a80b8401a8a26e3	5c9cd13cf3ef6621	59535893bb303665	48ab5d8061a68196	3e282c49aabc2dfd	
503c5e9dc4ec6599	10dc32afce33108f	67213cd5a711dd28	5cabb00c678d6e4b	746bd1f7d3fa060c	3f01d0f5e69e2a5f	7b128dff19f8ed3d	168fc279b96bfa6d	772736aacfadc11e	
27ceb1edc9959bd9	288c9197b73d0f35	4953bdeaa4df3dde	7c13d548474a9ec4	6b74a619d53dbb27	1b4f5e0c858b0c84	641be4ab4e6df060	296e04807aa86d88	780b9fe89de72f3	
42df724e551e8ae6	70f94afc28dc730c	6986df4c2468a976	36489272e7cd1e2a	695442327d6cd673	7ca3608ac56e047b	479132c07486dd86	213f9817428b1067	5bc3caf726c7d42	
291cbe9a445334ad	68b4dadf49d0ce3d	44841d11366e6c5e	60c8ef4844300752	72a8464662c967c9	5b0453d0bcbb37fc	5a6e3ce329596d92	28a41525dbf31d94	178eed0f0302c321	
6b345d176b9640cb	18f4486af63e2590	7b4b429fe444f550	41d4b96170bc0d41	298082b101a1bdac	4caefadd40a28ab1	152519787409de48	48caacf711b7dc70	4d916bd019df4f6f	
399fc06cc92d020	157b7a9d785a4571	1ccf319d5d706557	7a1c0958df41b5e1	588d5c87de32a187	7475e3462a275b59	5ec8da2ae37af3c2	dd3822b49908b9	3cd2a5ec5d67f621	
12b2de7de848286f	4fabd6dd8b01a768	33ab1977eb797d51	2b4b5fbc20e7a86	ac402d3c36f8f59	3176db4e51b8cbdd	44f41b91d3bd8fb5	422453a38dc877a8	1880495468d02b93	
12b5f4a426a359b0	4581e09de9da5d12	69c96e761ed26970	39688efb3d2184bf	440854d2ac7e3f3c	36a9720f1025b1b0	51aecf0ec1a32c70	1605db0aaa9d8cd3	5e9fbcf44a01a397	
65c445121b9f495a	35fcc9358fab9e70	4512753cf4fcd01c	101f62fc43ceb115	494fb05555047cb2	5233b3c74fca9d1e	3f3b6080f0bed89e	3a5c92b0ea63bc5d	6be5b65b1a92cec0	
4c850b1337eddd5d	3fe33af242045b6a	d7c490bd421e59e	6ed5dd3f012bb8bc	5fe50545565e0314	3ca3f5517ba975e9	524405e9d473b308	141301fc256f9ddf	523dafb4dbe9895a	
756dcce8956bce5d	356c5d8891b2a7f7	5210ae9ecdad2405	34641f4faa1d1c67	4622c2c9c8bc8a96	5a8bef431ab78c9c	5853ce06dd165180	16b6896aea043221	5a34d57ab5174b94	
3d2fa0f1d4c96172	449f4a4e2fb2adc5	1447733c21cb2653	60f3ae0789ffd062	60ecf971f68f9de9	5603c49be7c91779	45bf71c1e087ffb1	65d8a8448cc24b07	57f1eb1f52c58dfa	
51daa82c2edb188e	5e890ed54ec320cc	505d2662ab7a2c4c	326c7df4cc04e2c1	432364bf6e1268cb	1aaf9a38335519f1	7d69df998453f341	6998a153a77c1bf4	2350f672a11544c9	
4d5268b98919f954	47677dcd8c73c9df	6d00dfac01db3dd8	47dd6b784793c149	5f91b1777cc46dc0	5a11b5599a7bb8c5	3f8929e726c2767f	12dc2a82e32442e0	3f4e67399f9dfe2c	
320fce485d788350	4fae50cac4739e45	5a18a8d92d5e16b6	4bea6dcdb649f8de	62035a5d8acdc21e	1a80d6f1977d81db	2e610c10bdbdf13f	2e142fcda9034f0	7478ca78f87ca05	
3193f48def8f84cc	4a77e4e97c8f438d	35d6efa226113054	2afcbcd9abe39adf	53dacecb93a9d9da	289fc347d6852822	f973f3f6a2f4b44	119605c4860c3f5	64514aa646ac4b3	
58474aac206d36ff	1e78de895577abbf	3453825893f0186a	649fb775849110a6	291025a78d8c7552	3341090f054dc2d3	68f7d6a53bac901c	4fa29cc13d823f23	606befd34aad6825	
5e4bf51411a5e0f	6cdd4d1590c55cda	283c2308ce318cb7	67f70918d02dbc8c	b2886e97bb8abc0	575247133bee8ad0	757d5adb651ed04	2fdefd0ad5e40b70	43938ae9feb81353	
1a25b3a12e74a1dd	47bb84b0a6f0f6bc	38437e69d0f6083e	73f9be27cc03c5a9	7a9671e90835e2f4	5a25fe27f3e81785	77e6026aa661c878	1721b9e576b4ab28	363488814dbd00a1	
7d48aa4e3e2cec56	2dca3b2ef12fb14	38ef793f57df5c60	7a7d7a85bcef9acb	e750ae34e804af1	113544957c6a2d09	7bbd543b4af88adb	15b070c73babb434	600b0970158437b3	
6d98972e9d79815a	3796b58c7c851c35	62db2da9c28ffcb8	15c9b5dee6ef5178	1a66a8043bb4f7e1	7c594977e20b9dbf	25aa73cc56ec64e8	2e8b60eb19d7f6b0	41b746e6d6d7ee9	
7b3c9144b25ff004	b6e7d5a598dbb26	dac946c75e1a525	c8d1f9dcb142e85	7b5ea809ef30b87a	5fa15729c8ec08e5	2ed96a3a1afb3708	76f87f5724a30f0b	2d3bcff843de4b02	
5719365ce9d92753	449013db035b6411	4e82c6cd8bd6d66f	5a652293f8a3a122	6509b945510bd1b5	489de0ba189addc4	232d240c2942d207	30f6175c27972b48	276c6563541588ec	
720a302d6998110d	2cb6ca75375d177e	4360c92259d468d	db9875b888bed4d	772bf528a46dc40c	42228f83d0208c8e	6326e90d41210259	78091716d3eaeac5	4f3fe42f1061ff41	
54693fe07f156453	2af1152c78c3c99f	3e6ace4e5cd7919a	208478a0e27f43e3	27be7b493c8c89ca	335734f038bb9355	1f662b5571ea4ba7	52506c9afcb09158	31cecdbf1968f4ec	
